NAla	BrN(C)CC(N)=O
NAbu	BrN(CC)CC(N)=O
Nnpa	BrN(CCC)CC(N)=O
NVal	CC(C)N(Br)CC(N)=O
Nnba	CCCCN(Br)CC(N)=O
NIle	BrN(CC(N)=O)C(C)CC
NLeu	BrN(CC(C)C)CC(N)=O
NPhe	NC(=O)CN(Br)Cc1ccccc1
Npea	NC(=O)CN(Br)CCc1ccccc1
Nmba	NC(=O)CN(Br)C(C)c1ccccc1
NMet	BrN(CC(=O)N)CCSC
Nmpa	O=C(N)CN(Br)CCCOC
NLys	NC(=O)CN(Br)CCCCN
Nmpe	COc1ccc(CCN(Br)CC(N)=O)cc1
Ndmb	COc1cc(ccc1OC)CN(Br)CC(N)=O
Nffa	NC(=O)CN(Br)CC1CCCO1
Npip	NC(=O)CN(Br)Cc1ccc2OCOc2c1
Nbsa	O=S(N)(=O)c1ccc(CCN(Br)CC(N)=O)cc1
Ntbu	CC(C)(C)N(Br)CC(N)=O
Ndip	CC(C)[N+](Br)(CC(N)=O)C(C)C
